140 jobs x 4 capacities x 10 controllers on 10 workers
  [Fluvius 3 | Aktivni | 10 kWh] price_oracle                      521.21 EUR  (   1.9 s)
  [Fluvius 1 | Redni 2T | 10 kWh] price_oracle                      500.87 EUR  (   1.8 s)
  [Fluvius 1 | Aktivni | 10 kWh] price_oracle                      425.75 EUR  (   1.8 s)
  [Fluvius 3 | Dinamični | 5 kWh] milp_full_period                  470.11 EUR  (  65.8 s)
  [Fluvius 3 | Dinamični | 10 kWh] no_battery                        643.37 EUR  (   1.9 s)
  [Fluvius 2 | Dinamični | 5 kWh] milp_full_period                  410.22 EUR  (  69.2 s)
  [Fluvius 3 | Dinamični | 10 kWh] self_consumption                  643.97 EUR  (   1.9 s)
  [Fluvius 2 | Dinamični | 10 kWh] no_battery                        573.99 EUR  (   1.9 s)
  [Fluvius 3 | Dinamični | 10 kWh] fixed_schedule                    590.86 EUR  (   1.8 s)
  [Fluvius 2 | Dinamični | 10 kWh] self_consumption                  574.55 EUR  (   1.8 s)
  [Fluvius 3 | Dinamični | 10 kWh] delayed_pv_charge                 643.97 EUR  (   1.8 s)
  [Fluvius 2 | Dinamični | 10 kWh] fixed_schedule                    544.46 EUR  (   2.0 s)
  [Fluvius 3 | Dinamični | 10 kWh] price_threshold                   568.89 EUR  (   1.9 s)
  [Fluvius 1 | Dinamični | 5 kWh] milp_full_period                  371.09 EUR  (  76.3 s)
  [Fluvius 3 | Dinamični | 10 kWh] price_rank_daily                  515.51 EUR  (   1.7 s)
  [Fluvius 2 | Dinamični | 10 kWh] delayed_pv_charge                 574.55 EUR  (   1.9 s)
  [Fluvius 3 | Dinamični | 10 kWh] peak_shaving                      636.06 EUR  (   1.8 s)
  [Fluvius 1 | Dinamični | 10 kWh] no_battery                        540.40 EUR  (   1.9 s)
  [Fluvius 2 | Dinamični | 10 kWh] price_threshold                   507.52 EUR  (   1.9 s)
  [Fluvius 3 | Dinamični | 10 kWh] self_consumption_peak_shaving     636.81 EUR  (   1.8 s)
  [Fluvius 1 | Dinamični | 10 kWh] self_consumption                  540.71 EUR  (   1.8 s)
  [Fluvius 2 | Dinamični | 10 kWh] price_rank_daily                  466.72 EUR  (   1.8 s)
  [Fluvius 1 | Dinamični | 10 kWh] fixed_schedule                    482.30 EUR  (   1.8 s)
  [Fluvius 2 | Dinamični | 10 kWh] peak_shaving                      570.87 EUR  (   1.8 s)
  [Fluvius 3 | Dinamični | 10 kWh] price_oracle                      555.07 EUR  (   2.0 s)
  [Fluvius 2 | Dinamični | 10 kWh] self_consumption_peak_shaving     571.32 EUR  (   1.8 s)
  [Fluvius 1 | Dinamični | 10 kWh] delayed_pv_charge                 540.71 EUR  (   2.2 s)
  [Fluvius 2 | Dinamični | 10 kWh] price_oracle                      499.07 EUR  (   1.8 s)
  [Fluvius 1 | Dinamični | 10 kWh] price_threshold                   464.38 EUR  (   1.8 s)
  [Fluvius 2 | Redni 1T | 5 kWh] milp_full_period                  560.82 EUR  (  88.1 s)
  [Fluvius 1 | Dinamični | 10 kWh] price_rank_daily                  419.23 EUR  (   1.8 s)
  [Fluvius 1 | Redni 1T | 5 kWh] milp_full_period                  495.51 EUR  (  88.9 s)
  [Fluvius 2 | Redni 1T | 10 kWh] no_battery                        566.69 EUR  (   1.7 s)
  [Fluvius 1 | Dinamični | 10 kWh] peak_shaving                      532.51 EUR  (   1.8 s)
  [Fluvius 1 | Redni 2T | 10 kWh] milp_full_period                  495.55 EUR  (  35.3 s)
  [Fluvius 1 | Redni 1T | 10 kWh] no_battery                        501.17 EUR  (   1.8 s)
  [Fluvius 2 | Aktivni | 10 kWh] milp_full_period                  369.00 EUR  (  35.8 s)
  [Fluvius 2 | Redni 1T | 10 kWh] self_consumption                  566.77 EUR  (   1.7 s)
  [Fluvius 2 | Redni 2T | 10 kWh] milp_full_period                  559.97 EUR  (  37.6 s)
  [Fluvius 1 | Dinamični | 10 kWh] self_consumption_peak_shaving     532.69 EUR  (   1.8 s)
  [Fluvius 1 | Aktivni | 10 kWh] milp_full_period                  322.77 EUR  (  35.5 s)
  [Fluvius 1 | Redni 1T | 10 kWh] self_consumption                  501.25 EUR  (   1.7 s)
  [Fluvius 2 | Redni 1T | 10 kWh] fixed_schedule                    591.44 EUR  (   1.7 s)
  [Fluvius 1 | Redni 2T | 20 kWh] no_battery                        521.34 EUR  (   1.7 s)
  [Fluvius 1 | Dinamični | 10 kWh] price_oracle                      453.45 EUR  (   1.7 s)
  [Fluvius 2 | Aktivni | 20 kWh] no_battery                        590.82 EUR  (   1.7 s)
  [Fluvius 2 | Redni 2T | 20 kWh] no_battery                        586.75 EUR  (   1.7 s)
  [Fluvius 3 | Aktivni | 10 kWh] milp_full_period                  436.21 EUR  (  38.9 s)
  [Fluvius 1 | Redni 1T | 10 kWh] fixed_schedule                    522.75 EUR  (   1.7 s)
  [Fluvius 2 | Redni 1T | 10 kWh] delayed_pv_charge                 566.77 EUR  (   1.7 s)
  [Fluvius 1 | Aktivni | 20 kWh] no_battery                        554.16 EUR  (   1.7 s)
  [Fluvius 1 | Redni 2T | 20 kWh] self_consumption                  521.61 EUR  (   1.7 s)
  [Fluvius 2 | Aktivni | 20 kWh] self_consumption                  590.89 EUR  (   1.7 s)
  [Fluvius 2 | Redni 2T | 20 kWh] self_consumption                  587.02 EUR  (   1.7 s)
  [Fluvius 1 | Redni 1T | 10 kWh] delayed_pv_charge                 501.25 EUR  (   1.7 s)
  [Fluvius 2 | Redni 1T | 10 kWh] price_threshold                   566.77 EUR  (   1.7 s)
  [Fluvius 1 | Aktivni | 20 kWh] self_consumption                  554.09 EUR  (   1.7 s)
  [Fluvius 1 | Redni 2T | 20 kWh] fixed_schedule                    507.83 EUR  (   1.7 s)
  [Fluvius 3 | Aktivni | 20 kWh] no_battery                        676.64 EUR  (   1.7 s)
  [Fluvius 2 | Aktivni | 20 kWh] fixed_schedule                    682.60 EUR  (   1.8 s)
  [Fluvius 2 | Redni 2T | 20 kWh] fixed_schedule                    574.73 EUR  (   1.7 s)
  [Fluvius 1 | Redni 1T | 10 kWh] price_threshold                   501.25 EUR  (   1.7 s)
  [Fluvius 2 | Redni 1T | 10 kWh] price_rank_daily                  566.77 EUR  (   1.7 s)
  [Fluvius 1 | Aktivni | 20 kWh] fixed_schedule                    604.76 EUR  (   1.7 s)
  [Fluvius 1 | Redni 2T | 20 kWh] delayed_pv_charge                 521.61 EUR  (   1.7 s)
  [Fluvius 3 | Aktivni | 20 kWh] self_consumption                  676.68 EUR  (   1.7 s)
  [Fluvius 2 | Redni 2T | 20 kWh] delayed_pv_charge                 587.02 EUR  (   1.7 s)
  [Fluvius 2 | Aktivni | 20 kWh] delayed_pv_charge                 590.89 EUR  (   1.8 s)
  [Fluvius 1 | Redni 1T | 10 kWh] price_rank_daily                  501.25 EUR  (   1.7 s)
  [Fluvius 2 | Redni 1T | 10 kWh] peak_shaving                      563.15 EUR  (   1.8 s)
