140 jobs x 4 capacities x 10 controllers on 10 workers
  [Fluvius_HP 2 | Aktivni | 5 kWh] delayed_pv_charge                1927.67 EUR  (   1.4 s)
  [Fluvius_HP 2 | Aktivni | 5 kWh] price_threshold                  1775.64 EUR  (   1.4 s)
  [Fluvius_HP 2 | Aktivni | 5 kWh] price_rank_daily                 1795.34 EUR  (   1.4 s)
  [Fluvius_HP 1 | Redni 1T | 5 kWh] milp_full_period                 1764.32 EUR  (  49.1 s)
  [Fluvius_EV 5 | Redni 2T | 30 kWh] milp_full_period                  887.00 EUR  (  27.8 s)
[37/140] Fluvius_EV_user_005_redni2t.csv (40 rows)  (1045s elapsed)
  [Fluvius_HP 2 | Aktivni | 5 kWh] peak_shaving                     1921.76 EUR  (   1.4 s)
  [Fluvius_HP 1 | Redni 1T | 10 kWh] no_battery                       1776.27 EUR  (   1.4 s)
  [Fluvius_HP 2 | Aktivni | 5 kWh] self_consumption_peak_shaving    1922.33 EUR  (   1.4 s)
  [Fluvius_HP 1 | Redni 1T | 10 kWh] self_consumption                 1776.35 EUR  (   1.4 s)
  [Fluvius_HP 2 | Aktivni | 5 kWh] price_oracle                     1775.36 EUR  (   1.4 s)
  [Fluvius_HP 1 | Redni 1T | 10 kWh] fixed_schedule                   1820.09 EUR  (   1.4 s)
  [Fluvius_HP 2 | Redni 1T | 5 kWh] no_battery                       1677.44 EUR  (   1.4 s)
  [Fluvius_HP 1 | Redni 1T | 10 kWh] delayed_pv_charge                1776.35 EUR  (   1.4 s)
  [Fluvius_HP 2 | Redni 1T | 5 kWh] self_consumption                 1677.48 EUR  (   1.4 s)
  [Fluvius_HP 1 | Redni 1T | 10 kWh] price_threshold                  1776.35 EUR  (   1.4 s)
  [Fluvius_HP 2 | Redni 1T | 5 kWh] fixed_schedule                   1699.97 EUR  (   1.4 s)
  [Fluvius_HP 1 | Redni 1T | 10 kWh] price_rank_daily                 1776.35 EUR  (   1.4 s)
  [Fluvius_HP 2 | Redni 1T | 5 kWh] delayed_pv_charge                1677.48 EUR  (   1.4 s)
  [Fluvius_HP 1 | Redni 1T | 10 kWh] peak_shaving                     1763.65 EUR  (   1.4 s)
  [Fluvius_HP 2 | Redni 1T | 5 kWh] price_threshold                  1677.48 EUR  (   1.4 s)
  [Fluvius_HP 1 | Redni 1T | 10 kWh] self_consumption_peak_shaving    1763.75 EUR  (   1.4 s)
  [Fluvius_HP 2 | Redni 1T | 5 kWh] price_rank_daily                 1677.48 EUR  (   1.4 s)
  [Fluvius_HP 1 | Redni 1T | 10 kWh] price_oracle                     1776.35 EUR  (   1.4 s)
  [Fluvius_HP 2 | Redni 1T | 5 kWh] peak_shaving                     1670.50 EUR  (   1.4 s)
  [Fluvius_HP 2 | Redni 1T | 5 kWh] self_consumption_peak_shaving    1671.17 EUR  (   1.4 s)
  [Fluvius_HP 2 | Redni 1T | 5 kWh] price_oracle                     1677.48 EUR  (   1.4 s)
  [Fluvius_HP 1 | Redni 2T | 10 kWh] milp_full_period                 1786.54 EUR  (  33.7 s)
  [Fluvius_HP 1 | Redni 2T | 20 kWh] no_battery                       1837.25 EUR  (   1.4 s)
  [Fluvius_HP 1 | Redni 2T | 20 kWh] self_consumption                 1837.52 EUR  (   1.4 s)
  [Fluvius_HP 1 | Redni 2T | 20 kWh] fixed_schedule                   1808.12 EUR  (   1.4 s)
  [Fluvius_HP 2 | Aktivni | 5 kWh] milp_full_period                 1723.92 EUR  (  28.4 s)
  [Fluvius_EV 5 | Redni 1T | 20 kWh] milp_full_period                  889.87 EUR  (  41.6 s)
  [Fluvius_HP 1 | Redni 2T | 20 kWh] delayed_pv_charge                1837.52 EUR  (   1.4 s)
  [Fluvius_HP 2 | Aktivni | 10 kWh] no_battery                       1927.65 EUR  (   1.4 s)
  [Fluvius_EV 4 | Redni 1T | 20 kWh] milp_full_period                 1296.40 EUR  (  94.4 s)
  [Fluvius_EV 5 | Redni 1T | 30 kWh] no_battery                        901.76 EUR  (   1.4 s)
  [Fluvius_HP 1 | Redni 2T | 20 kWh] price_threshold                  1782.59 EUR  (   1.4 s)
  [Fluvius_HP 2 | Aktivni | 10 kWh] self_consumption                 1927.68 EUR  (   1.4 s)
  [Fluvius_EV 5 | Redni 1T | 30 kWh] self_consumption                  901.97 EUR  (   1.4 s)
  [Fluvius_HP 1 | Redni 2T | 20 kWh] price_rank_daily                 1836.30 EUR  (   1.4 s)
  [Fluvius_EV 4 | Redni 1T | 30 kWh] no_battery                       1298.03 EUR  (   1.4 s)
  [Fluvius_HP 2 | Aktivni | 10 kWh] fixed_schedule                   2030.90 EUR  (   1.4 s)
  [Fluvius_EV 5 | Redni 1T | 30 kWh] fixed_schedule                    942.89 EUR  (   1.4 s)
  [Fluvius_HP 1 | Redni 2T | 20 kWh] peak_shaving                     1823.28 EUR  (   1.4 s)
  [Fluvius_EV 4 | Redni 1T | 30 kWh] self_consumption                 1298.25 EUR  (   1.4 s)
  [Fluvius_HP 2 | Aktivni | 10 kWh] delayed_pv_charge                1927.68 EUR  (   1.4 s)
  [Fluvius_EV 5 | Redni 1T | 30 kWh] delayed_pv_charge                 901.97 EUR  (   1.4 s)
  [Fluvius_HP 1 | Redni 2T | 20 kWh] self_consumption_peak_shaving    1823.56 EUR  (   1.4 s)
  [Fluvius_EV 4 | Redni 1T | 30 kWh] fixed_schedule                   1357.44 EUR  (   1.4 s)
  [Fluvius_HP 2 | Aktivni | 10 kWh] price_threshold                  1677.70 EUR  (   1.4 s)
  [Fluvius_HP 2 | Dinamični | 5 kWh] milp_full_period                 1593.53 EUR  (  54.1 s)
  [Fluvius_EV 5 | Redni 1T | 30 kWh] price_threshold                   901.97 EUR  (   1.4 s)
  [Fluvius_HP 1 | Redni 2T | 20 kWh] price_oracle                     1782.24 EUR  (   1.4 s)
  [Fluvius_EV 4 | Redni 1T | 30 kWh] delayed_pv_charge                1298.25 EUR  (   1.4 s)
  [Fluvius_HP 2 | Aktivni | 10 kWh] price_rank_daily                 1707.60 EUR  (   1.4 s)
  [Fluvius_EV 5 | Redni 1T | 30 kWh] price_rank_daily                  901.97 EUR  (   1.4 s)
  [Fluvius_HP 2 | Dinamični | 10 kWh] no_battery                       1812.51 EUR  (   1.4 s)
  [Fluvius_EV 4 | Redni 1T | 30 kWh] price_threshold                  1298.25 EUR  (   1.4 s)
  [Fluvius_HP 2 | Aktivni | 10 kWh] peak_shaving                     1922.22 EUR  (   1.4 s)
  [Fluvius_EV 5 | Redni 1T | 30 kWh] peak_shaving                      891.27 EUR  (   1.4 s)
  [Fluvius_HP 2 | Dinamični | 10 kWh] self_consumption                 1813.12 EUR  (   1.4 s)
  [Fluvius_EV 4 | Redni 1T | 30 kWh] price_rank_daily                 1298.25 EUR  (   1.4 s)
  [Fluvius_HP 2 | Aktivni | 10 kWh] self_consumption_peak_shaving    1922.69 EUR  (   1.4 s)
  [Fluvius_EV 5 | Redni 1T | 30 kWh] self_consumption_peak_shaving     894.63 EUR  (   1.4 s)
  [Fluvius_HP 2 | Dinamični | 10 kWh] fixed_schedule                   1757.11 EUR  (   1.4 s)
  [Fluvius_EV 4 | Redni 1T | 30 kWh] peak_shaving                     1299.28 EUR  (   1.4 s)
  [Fluvius_HP 2 | Aktivni | 10 kWh] price_oracle                     1677.46 EUR  (   1.4 s)
  [Fluvius_EV 5 | Redni 1T | 30 kWh] price_oracle                      901.97 EUR  (   1.4 s)
  [Fluvius_HP 2 | Dinamični | 10 kWh] delayed_pv_charge                1813.12 EUR  (   1.4 s)
  [Fluvius_EV 4 | Redni 1T | 30 kWh] self_consumption_peak_shaving    1299.07 EUR  (   1.4 s)
  [Fluvius_HP 2 | Dinamični | 10 kWh] price_threshold                  1718.48 EUR  (   1.4 s)
  [Fluvius_EV 4 | Redni 1T | 30 kWh] price_oracle                     1298.25 EUR  (   1.4 s)
  [Fluvius_HP 2 | Dinamični | 10 kWh] price_rank_daily                 1662.45 EUR  (   1.4 s)
  [Fluvius_HP 2 | Dinamični | 10 kWh] peak_shaving                     1800.58 EUR  (   1.4 s)
  [Fluvius_HP 2 | Dinamični | 10 kWh] self_consumption_peak_shaving    1801.68 EUR  (   1.4 s)
  [Fluvius_HP 2 | Dinamični | 10 kWh] price_oracle                     1699.36 EUR  (   1.4 s)
  [Fluvius_HP 1 | Aktivni | 10 kWh] milp_full_period                 1637.77 EUR  (  79.6 s)
  [Fluvius_HP 1 | Aktivni | 20 kWh] no_battery                       2019.06 EUR  (   1.5 s)
  [Fluvius_HP 1 | Aktivni | 20 kWh] self_consumption                 2019.06 EUR  (   1.4 s)
  [Fluvius_HP 1 | Aktivni | 20 kWh] fixed_schedule                   2265.07 EUR  (   1.4 s)
  [Fluvius_HP 1 | Aktivni | 20 kWh] delayed_pv_charge                2019.06 EUR  (   1.4 s)
  [Fluvius_HP 1 | Aktivni | 20 kWh] price_threshold                  1479.55 EUR  (   1.4 s)
  [Fluvius_HP 1 | Aktivni | 20 kWh] price_rank_daily                 1864.00 EUR  (   1.4 s)
  [Fluvius_HP 1 | Redni 1T | 10 kWh] milp_full_period                 1761.27 EUR  (  56.4 s)
  [Fluvius_HP 1 | Aktivni | 20 kWh] peak_shaving                     2008.70 EUR  (   1.4 s)
  [Fluvius_HP 1 | Aktivni | 20 kWh] self_consumption_peak_shaving    2008.70 EUR  (   1.5 s)
  [Fluvius_HP 1 | Redni 1T | 20 kWh] no_battery                       1776.27 EUR  (   1.4 s)
  [Fluvius_HP 1 | Aktivni | 20 kWh] price_oracle                     1478.40 EUR  (   1.4 s)
  [Fluvius_HP 1 | Redni 1T | 20 kWh] self_consumption                 1776.42 EUR  (   1.4 s)
  [Fluvius_HP 1 | Redni 1T | 20 kWh] fixed_schedule                   1831.30 EUR  (   1.4 s)
  [Fluvius_HP 1 | Redni 1T | 20 kWh] delayed_pv_charge                1776.42 EUR  (   1.4 s)
  [Fluvius_HP 1 | Redni 1T | 20 kWh] price_threshold                  1776.42 EUR  (   1.4 s)
  [Fluvius_HP 2 | Redni 1T | 5 kWh] milp_full_period                 1667.20 EUR  (  61.7 s)
  [Fluvius_HP 1 | Redni 1T | 20 kWh] price_rank_daily                 1776.42 EUR  (   1.4 s)
  [Fluvius_EV 5 | Dinamični | 20 kWh] milp_full_period                  429.05 EUR  ( 160.6 s)
  [Fluvius_HP 1 | Dinamični | 10 kWh] milp_full_period                 1418.86 EUR  (  95.3 s)
  [Fluvius_HP 1 | Redni 1T | 20 kWh] peak_shaving                     1763.76 EUR  (   1.4 s)
  [Fluvius_HP 2 | Aktivni | 10 kWh] milp_full_period                 1603.10 EUR  (  34.5 s)
  [Fluvius_HP 2 | Redni 1T | 10 kWh] no_battery                       1677.44 EUR  (   1.4 s)
  [Fluvius_HP 1 | Redni 2T | 20 kWh] milp_full_period                 1761.13 EUR  (  40.0 s)
  [Fluvius_EV 5 | Dinamični | 30 kWh] no_battery                        990.58 EUR  (   1.4 s)
  [Fluvius_HP 1 | Redni 1T | 20 kWh] self_consumption_peak_shaving    1763.87 EUR  (   1.4 s)
  [Fluvius_HP 2 | Redni 1T | 10 kWh] self_consumption                 1677.52 EUR  (   1.4 s)
  [Fluvius_HP 1 | Dinamični | 20 kWh] no_battery                       1819.13 EUR  (   1.4 s)
  [Fluvius_HP 2 | Aktivni | 20 kWh] no_battery                       1927.65 EUR  (   1.4 s)
  [Fluvius_HP 1 | Redni 2T | 30 kWh] no_battery                       1837.25 EUR  (   1.4 s)
  [Fluvius_EV 5 | Dinamični | 30 kWh] self_consumption                  991.66 EUR  (   1.4 s)
  [Fluvius_HP 1 | Redni 1T | 20 kWh] price_oracle                     1776.42 EUR  (   1.4 s)
  [Fluvius_HP 2 | Redni 1T | 10 kWh] fixed_schedule                   1715.87 EUR  (   1.4 s)
  [Fluvius_HP 1 | Dinamični | 20 kWh] self_consumption                 1820.12 EUR  (   1.4 s)
  [Fluvius_HP 2 | Aktivni | 20 kWh] self_consumption                 1927.71 EUR  (   1.4 s)
  [Fluvius_HP 1 | Redni 2T | 30 kWh] self_consumption                 1837.66 EUR  (   1.4 s)
  [Fluvius_EV 5 | Dinamični | 30 kWh] fixed_schedule                    870.70 EUR  (   1.4 s)
  [Fluvius_HP 2 | Redni 1T | 10 kWh] delayed_pv_charge                1677.52 EUR  (   1.4 s)
  [Fluvius_HP 1 | Dinamični | 20 kWh] fixed_schedule                   1771.48 EUR  (   1.4 s)
  [Fluvius_HP 2 | Aktivni | 20 kWh] fixed_schedule                   2106.42 EUR  (   1.4 s)
  [Fluvius_HP 1 | Redni 2T | 30 kWh] fixed_schedule                   1809.08 EUR  (   1.4 s)
  [Fluvius_EV 5 | Dinamični | 30 kWh] delayed_pv_charge                 991.66 EUR  (   1.4 s)
  [Fluvius_HP 2 | Redni 1T | 10 kWh] price_threshold                  1677.52 EUR  (   1.4 s)
  [Fluvius_HP 1 | Dinamični | 20 kWh] delayed_pv_charge                1820.12 EUR  (   1.4 s)
  [Fluvius_HP 2 | Aktivni | 20 kWh] delayed_pv_charge                1927.71 EUR  (   1.4 s)
  [Fluvius_HP 1 | Redni 2T | 30 kWh] delayed_pv_charge                1837.66 EUR  (   1.4 s)
  [Fluvius_EV 5 | Dinamični | 30 kWh] price_threshold                   826.64 EUR  (   1.4 s)
  [Fluvius_HP 2 | Redni 1T | 10 kWh] price_rank_daily                 1677.52 EUR  (   1.4 s)
  [Fluvius_HP 1 | Dinamični | 20 kWh] price_threshold                  1594.28 EUR  (   1.4 s)
  [Fluvius_HP 2 | Aktivni | 20 kWh] price_threshold                  1609.61 EUR  (   1.4 s)
  [Fluvius_HP 1 | Redni 2T | 30 kWh] price_threshold                  1773.88 EUR  (   1.4 s)
  [Fluvius_EV 5 | Dinamični | 30 kWh] price_rank_daily                  790.04 EUR  (   1.4 s)
  [Fluvius_HP 2 | Redni 1T | 10 kWh] peak_shaving                     1670.81 EUR  (   1.4 s)
  [Fluvius_HP 1 | Dinamični | 20 kWh] price_rank_daily                 1715.47 EUR  (   1.4 s)
  [Fluvius_HP 2 | Aktivni | 20 kWh] price_rank_daily                 1702.44 EUR  (   1.4 s)
  [Fluvius_HP 1 | Redni 2T | 30 kWh] price_rank_daily                 1819.85 EUR  (   1.4 s)
  [Fluvius_EV 5 | Dinamični | 30 kWh] peak_shaving                      973.99 EUR  (   1.4 s)
  [Fluvius_HP 2 | Redni 1T | 10 kWh] self_consumption_peak_shaving    1671.17 EUR  (   1.4 s)
  [Fluvius_HP 1 | Dinamični | 20 kWh] peak_shaving                     1804.94 EUR  (   1.4 s)
  [Fluvius_HP 2 | Aktivni | 20 kWh] peak_shaving                     1922.20 EUR  (   1.4 s)
  [Fluvius_HP 1 | Redni 2T | 30 kWh] peak_shaving                     1823.27 EUR  (   1.4 s)
  [Fluvius_EV 5 | Dinamični | 30 kWh] self_consumption_peak_shaving     977.89 EUR  (   1.4 s)
  [Fluvius_HP 2 | Redni 1T | 10 kWh] price_oracle                     1677.52 EUR  (   1.4 s)
  [Fluvius_HP 1 | Dinamični | 20 kWh] self_consumption_peak_shaving    1805.30 EUR  (   1.4 s)
  [Fluvius_HP 2 | Aktivni | 20 kWh] self_consumption_peak_shaving    1922.79 EUR  (   1.4 s)
  [Fluvius_HP 1 | Redni 2T | 30 kWh] self_consumption_peak_shaving    1823.69 EUR  (   1.5 s)
  [Fluvius_EV 5 | Dinamični | 30 kWh] price_oracle                      809.93 EUR  (   1.4 s)
  [Fluvius_HP 1 | Dinamični | 20 kWh] price_oracle                     1564.38 EUR  (   1.4 s)
  [Fluvius_HP 2 | Aktivni | 20 kWh] price_oracle                     1609.50 EUR  (   1.4 s)
  [Fluvius_HP 1 | Redni 2T | 30 kWh] price_oracle                     1773.45 EUR  (   1.4 s)
  [Fluvius_EV 5 | Redni 1T | 30 kWh] milp_full_period                  889.86 EUR  (  55.3 s)
[38/140] Fluvius_EV_user_005_redni1t.csv (40 rows)  (1146s elapsed)
  [Fluvius_HP 1 | Aktivni | 20 kWh] milp_full_period                 1421.50 EUR  (  32.2 s)
  [Fluvius_HP 2 | Redni 2T | 5 kWh] no_battery                       1746.22 EUR  (   1.4 s)
  [Fluvius_HP 1 | Aktivni | 30 kWh] no_battery                       2019.06 EUR  (   1.4 s)
  [Fluvius_HP 2 | Redni 2T | 5 kWh] self_consumption                 1746.29 EUR  (   1.4 s)
  [Fluvius_HP 1 | Aktivni | 30 kWh] self_consumption                 2019.10 EUR  (   1.4 s)
  [Fluvius_HP 2 | Redni 2T | 5 kWh] fixed_schedule                   1741.49 EUR  (   1.4 s)
  [Fluvius_HP 1 | Aktivni | 30 kWh] fixed_schedule                   2258.27 EUR  (   1.4 s)
  [Fluvius_HP 2 | Redni 2T | 5 kWh] delayed_pv_charge                1746.29 EUR  (   1.4 s)
  [Fluvius_HP 1 | Aktivni | 30 kWh] delayed_pv_charge                2019.10 EUR  (   1.4 s)
  [Fluvius_HP 2 | Redni 2T | 5 kWh] price_threshold                  1738.53 EUR  (   1.4 s)
  [Fluvius_HP 1 | Aktivni | 30 kWh] price_threshold                  1431.47 EUR  (   1.4 s)
  [Fluvius_HP 2 | Redni 2T | 5 kWh] price_rank_daily                 1744.17 EUR  (   1.4 s)
  [Fluvius_HP 1 | Aktivni | 30 kWh] price_rank_daily                 1850.66 EUR  (   1.4 s)
  [Fluvius_HP 2 | Redni 2T | 5 kWh] peak_shaving                     1737.59 EUR  (   1.4 s)
  [Fluvius_HP 1 | Aktivni | 30 kWh] peak_shaving                     2008.59 EUR  (   1.4 s)
  [Fluvius_HP 2 | Redni 2T | 5 kWh] self_consumption_peak_shaving    1738.33 EUR  (   1.4 s)
  [Fluvius_HP 1 | Aktivni | 30 kWh] self_consumption_peak_shaving    2008.70 EUR  (   1.4 s)
  [Fluvius_HP 2 | Redni 2T | 5 kWh] price_oracle                     1738.51 EUR  (   1.4 s)
  [Fluvius_HP 1 | Aktivni | 30 kWh] price_oracle                     1430.23 EUR  (   1.4 s)
  [Fluvius_HP 2 | Aktivni | 20 kWh] milp_full_period                 1428.48 EUR  (  31.8 s)
  [Fluvius_HP 2 | Aktivni | 30 kWh] no_battery                       1927.65 EUR  (   1.4 s)
  [Fluvius_HP 2 | Aktivni | 30 kWh] self_consumption                 1927.73 EUR  (   1.4 s)
  [Fluvius_HP 2 | Aktivni | 30 kWh] fixed_schedule                   2114.39 EUR  (   1.4 s)
  [Fluvius_HP 2 | Aktivni | 30 kWh] delayed_pv_charge                1927.73 EUR  (   1.4 s)
  [Fluvius_HP 2 | Dinamični | 10 kWh] milp_full_period                 1438.09 EUR  (  79.1 s)
  [Fluvius_HP 2 | Aktivni | 30 kWh] price_threshold                  1595.22 EUR  (   1.4 s)
  [Fluvius_HP 2 | Aktivni | 30 kWh] price_rank_daily                 1694.78 EUR  (   1.4 s)
  [Fluvius_HP 2 | Dinamični | 20 kWh] no_battery                       1812.51 EUR  (   1.4 s)
  [Fluvius_HP 1 | Redni 2T | 30 kWh] milp_full_period                 1752.22 EUR  (  41.0 s)
[39/140] Fluvius_HP_user_001_redni2t.csv (40 rows)  (1180s elapsed)
  [Fluvius_HP 2 | Aktivni | 30 kWh] peak_shaving                     1922.12 EUR  (   1.4 s)
  [Fluvius_HP 2 | Dinamični | 20 kWh] self_consumption                 1813.74 EUR  (   1.4 s)
  [Fluvius_HP 2 | Aktivni | 30 kWh] self_consumption_peak_shaving    1922.80 EUR  (   1.4 s)
  [Fluvius_HP 2 | Dinamični | 20 kWh] fixed_schedule                   1711.66 EUR  (   1.4 s)
  [Fluvius_HP 2 | Aktivni | 30 kWh] price_oracle                     1595.00 EUR  (   1.4 s)
  [Fluvius_HP 2 | Dinamični | 20 kWh] delayed_pv_charge                1813.74 EUR  (   1.4 s)
  [Fluvius_HP 3 | Dinamični | 5 kWh] no_battery                       1127.96 EUR  (   1.4 s)
  [Fluvius_HP 2 | Dinamični | 20 kWh] price_threshold                  1668.23 EUR  (   1.4 s)
  [Fluvius_HP 3 | Dinamični | 5 kWh] self_consumption                 1128.26 EUR  (   1.4 s)
  [Fluvius_HP 2 | Dinamični | 20 kWh] price_rank_daily                 1648.51 EUR  (   1.4 s)
  [Fluvius_HP 3 | Dinamični | 5 kWh] fixed_schedule                   1094.95 EUR  (   1.4 s)
  [Fluvius_HP 2 | Dinamični | 20 kWh] peak_shaving                     1800.59 EUR  (   1.4 s)
  [Fluvius_HP 3 | Dinamični | 5 kWh] delayed_pv_charge                1128.26 EUR  (   1.4 s)
  [Fluvius_HP 2 | Redni 2T | 5 kWh] milp_full_period                 1718.16 EUR  (  26.4 s)
  [Fluvius_HP 2 | Dinamični | 20 kWh] self_consumption_peak_shaving    1802.03 EUR  (   1.4 s)
  [Fluvius_HP 3 | Dinamični | 5 kWh] price_threshold                  1079.91 EUR  (   1.4 s)
  [Fluvius_HP 2 | Dinamični | 20 kWh] price_oracle                     1640.38 EUR  (   1.4 s)
  [Fluvius_HP 2 | Redni 2T | 10 kWh] no_battery                       1746.22 EUR  (   1.4 s)
  [Fluvius_HP 3 | Dinamični | 5 kWh] price_rank_daily                 1044.64 EUR  (   1.4 s)
  [Fluvius_HP 2 | Redni 2T | 10 kWh] self_consumption                 1746.37 EUR  (   1.4 s)
  [Fluvius_HP 1 | Aktivni | 30 kWh] milp_full_period                 1249.30 EUR  (  29.3 s)
[40/140] Fluvius_HP_user_001_aktivni.csv (40 rows)  (1193s elapsed)
  [Fluvius_HP 3 | Dinamični | 5 kWh] peak_shaving                     1123.17 EUR  (   1.4 s)
  [Fluvius_HP 2 | Redni 2T | 10 kWh] fixed_schedule                   1735.54 EUR  (   1.4 s)
  [Fluvius_HP 3 | Dinamični | 5 kWh] self_consumption_peak_shaving    1122.21 EUR  (   1.4 s)
  [Fluvius_HP 2 | Redni 2T | 10 kWh] delayed_pv_charge                1746.37 EUR  (   1.4 s)
  [Fluvius_HP 3 | Dinamični | 5 kWh] price_oracle                     1068.44 EUR  (   1.4 s)
  [Fluvius_HP 2 | Redni 2T | 10 kWh] price_threshold                  1731.39 EUR  (   1.4 s)
  [Fluvius_HP 3 | Aktivni | 5 kWh] no_battery                       1409.80 EUR  (   1.4 s)
  [Fluvius_HP 2 | Redni 2T | 10 kWh] price_rank_daily                 1737.51 EUR  (   1.4 s)
  [Fluvius_EV 4 | Redni 1T | 30 kWh] milp_full_period                 1296.40 EUR  ( 105.8 s)
[41/140] Fluvius_EV_user_004_redni1t.csv (40 rows)  (1199s elapsed)
  [Fluvius_HP 3 | Aktivni | 5 kWh] self_consumption                 1409.81 EUR  (   1.4 s)
  [Fluvius_HP 2 | Redni 2T | 10 kWh] peak_shaving                     1737.89 EUR  (   1.4 s)
  [Fluvius_HP 3 | Aktivni | 5 kWh] fixed_schedule                   1452.25 EUR  (   1.4 s)
  [Fluvius_HP 2 | Redni 2T | 10 kWh] self_consumption_peak_shaving    1738.27 EUR  (   1.4 s)
  [Fluvius_HP 3 | Aktivni | 5 kWh] delayed_pv_charge                1409.81 EUR  (   1.4 s)
  [Fluvius_HP 2 | Redni 2T | 10 kWh] price_oracle                     1731.30 EUR  (   1.4 s)
  [Fluvius_HP 3 | Aktivni | 5 kWh] price_threshold                  1277.28 EUR  (   1.4 s)
  [Fluvius_HP 3 | Redni 1T | 5 kWh] no_battery                       1198.30 EUR  (   1.4 s)
  [Fluvius_HP 3 | Aktivni | 5 kWh] price_rank_daily                 1281.90 EUR  (   1.4 s)
  [Fluvius_HP 3 | Redni 1T | 5 kWh] self_consumption                 1198.34 EUR  (   1.4 s)
