Dataset,Household,Tariff,Capacity_kWh,Power_kW,Cost_EUR,Netting_Credit_EUR,Charged_kWh,Discharged_kWh,Stored_Out_kWh,Grid_Charged_kWh,Import_kWh,Export_kWh,Curtailed_kWh,Peak_Import_kW,Equivalent_Full_Cycles,EFC_AC_Legacy,N_Steps,First_Step,Last_Step,Contracted_Power_kW,Solve_s
Fluvius_PV,283,Redni + NM,10.0,5.0,253.2938160369659,181.89329220167315,1257.86694184103,1135.224914954502,1194.9735946889496,6.386384476808615e-15,1542.752085045498,1147.75105815897,0.0,3.4266666800000003,119.4973594718964,113.52249149545021,35136.0,2024-01-01 00:00:00+00:00,2024-12-31 23:45:00+00:00,3.4266666666666663,75.92816376686096
Fluvius_PV,283,Redni + NM,12.5,6.25,253.10840004267496,178.0678843874649,1282.00535735985,1157.009834953612,1217.9050894248549,6.602357549567728e-15,1520.967165046388,1123.61264264015,0.0,3.4266666800000003,97.43240715666849,92.56078679628895,35136.0,2024-01-01 00:00:00+00:00,2024-12-31 23:45:00+00:00,3.4266666666666663,80.04454684257507
Fluvius_PV,283,Redni + NM,15.0,7.5,252.98520928764407,175.6694436565959,1297.13957620805,1170.668467453892,1232.2825973198862,6.548581121812447e-15,1507.308532546108,1108.47842379195,0.0,3.4266666800000003,82.15217315725113,78.04456449692613,35136.0,2024-01-01 00:00:00+00:00,2024-12-31 23:45:00+00:00,3.4266666666666663,78.80106592178345
Fluvius_PV,283,Redni + NM,20.0,10.0,252.81906515250319,173.34287247693692,1311.82029641204,1183.917817456522,1246.2292815331812,6.721186107672139e-15,1494.059182543478,1093.7977035879599,0.0,3.4266666800000003,62.31146407811548,59.1958908728261,35136.0,2024-01-01 00:00:00+00:00,2024-12-31 23:45:00+00:00,3.4266666666666663,78.61248993873596
Fluvius_PV_EV,99,Dinamični,0.0,0.0,315.62666788281405,0.0,0.0,0.0,0.0,0.0,2033.478,2342.917,328.107,7.936,0.0,0.0,35136.0,2024-01-01 00:00:00+00:00,2024-12-31 23:45:00+00:00,5.290666666666667,9.143810033798218
Fluvius_PV,283,Redni + NM,25.0,11.0,252.7051530970911,171.8616721140503,1321.1667064038202,1192.3529524625121,1255.1083710131707,6.6509298068950784e-15,1485.624047537488,1084.45129359618,0.0,3.4266666800000003,50.204334841935996,47.69411809850048,35136.0,2024-01-01 00:00:00+00:00,2024-12-31 23:45:00+00:00,3.4266666666666663,75.19156503677368
Fluvius_PV,283,Redni + NM,30.0,11.0,252.63035380916975,171.0275773802728,1326.4298642773,1197.102952458902,1260.1083710093708,6.663072871226916e-15,1480.874047541098,1079.1881357227,0.0,3.4266666800000003,42.003612367880095,39.90343174863007,35136.0,2024-01-01 00:00:00+00:00,2024-12-31 23:45:00+00:00,3.4266666666666663,77.64349889755249
Fluvius_PV_EV,99,Dinamični,1.0,0.5,256.178375025441,0.0,685.0561796419001,618.2631924990119,650.8033605252757,267.2114967883402,1803.7782273113348,2122.1276857381467,252.4035544303,7.461,650.8033655925403,618.2631924990119,35136.0,2024-01-01 00:00:00+00:00,2024-12-31 23:45:00+00:00,5.290666666666667,52.541614055633545
Fluvius_PV,283,Redni + NM,40.0,11.0,252.5042379538213,169.3593879052214,1336.9561800901201,1206.6029524559099,1270.108371006221,6.761952109357594e-15,1471.37404754409,1068.66181990988,0.0,3.4266666800000003,31.752709276147936,30.165073811397747,35136.0,2024-01-01 00:00:00+00:00,2024-12-31 23:45:00+00:00,3.4266666666666663,77.25272011756897
Fluvius_PV_EV,99,Dinamični,2.0,1.0,212.71064957059573,0.0,1127.9923237768412,1018.0130841453215,1071.59272015297,421.24978045560033,1714.846387330393,2050.483336147713,191.92981155116001,6.986,535.7963569352423,509.00654207266075,35136.0,2024-01-01 00:00:00+00:00,2024-12-31 23:45:00+00:00,5.290666666666667,67.0272068977356
Fluvius_PV_EV,99,Dinamični,3.0,1.5,175.24800480668793,0.0,1510.4999523541692,1363.226210818029,1434.97495875582,582.57096196081,1716.4854475880015,2061.845317990861,144.912388061,6.511,478.3249855820468,454.408736939343,35136.0,2024-01-01 00:00:00+00:00,2024-12-31 23:45:00+00:00,5.290666666666667,62.344491958618164
Fluvius_PV_EV,99,Dinamični,2.5,1.25,193.38246579738916,0.0,1322.7125725445599,1193.7480933150255,1256.5769403316058,498.99080099594,1706.5966838634315,2048.4688463037974,166.7093583301,6.7485,502.63077684978754,477.4992373260102,35136.0,2024-01-01 00:00:00+00:00,2024-12-31 23:45:00+00:00,5.290666666666667,72.32915210723877
Fluvius_PV_EV,99,Dinamični,4.0,2.0,141.64726797338693,0.0,1861.09644177138,1679.6395374620367,1768.0416183810914,755.2622474237999,1775.3322558740206,2116.0567477013474,115.36460386333002,6.0360000000000005,442.01040475798777,419.9098843655092,35136.0,2024-01-01 00:00:00+00:00,2024-12-31 23:45:00+00:00,5.290666666666667,73.5745620727539
Fluvius_PV_EV,99,Dinamični,5.0,2.5,110.96338015608856,0.0,2190.10883651722,1976.5732207820474,2080.603390296892,938.6917117233202,1873.130970991666,2202.6237153799334,94.51763987656,5.561,416.12067849882516,395.3146441564095,35136.0,2024-01-01 00:00:00+00:00,2024-12-31 23:45:00+00:00,5.290666666666667,82.25441193580627
Fluvius_PV_EV,99,Dinamični,6.0,3.0,82.60749271299551,0.0,2497.89835801184,2254.3532732520534,2373.0034455284776,1126.7498318755402,2001.9334000384263,2317.3848581968396,78.5494570818,5.290666680000001,395.5005738033105,375.7255455420089,35136.0,2024-01-01 00:00:00+00:00,2024-12-31 23:45:00+00:00,5.290666666666667,89.6694278717041
Fluvius_PV_EV,99,Dinamični,7.5,3.75,43.30090626588332,0.0,2925.991776704999,2640.707572441068,2779.6921815169135,1422.2681442886,2239.0542360630816,2524.80906226546,66.50696953369,5.290666680000001,370.62562462577745,352.0943429921424,35136.0,2024-01-01 00:00:00+00:00,2024-12-31 23:45:00+00:00,5.290666666666667,97.6487443447113
Fluvius_PV_EV,99,Dinamični,10.0,5.0,-17.90214081331048,0.0,3589.5716789182816,3239.5884024547895,3410.0930552155683,1944.9586216450016,2709.662515642578,2936.8529686370866,60.372270541999995,5.463158000000001,341.00930750939676,323.95884024547894,35136.0,2024-01-01 00:00:00+00:00,2024-12-31 23:45:00+00:00,5.290666666666667,114.72763705253601
Fluvius_PV_EV,99,Dinamični,12.5,6.25,-75.08474312157318,0.0,4209.179270706852,3798.7842773698076,3998.7202919682186,2503.323725890552,3247.6334634658274,3415.0688794087832,59.71559072,6.938947368,319.8976239655891,303.9027421895846,35136.0,2024-01-01 00:00:00+00:00,2024-12-31 23:45:00+00:00,5.290666666666667,113.45779800415039
Fluvius_PV_EV,99,Dinamični,15.0,7.5,-130.46491244916774,0.0,4795.5204584501735,4327.957175051839,4555.74439479141,3057.6885009165726,3792.3632677598325,3902.6310118614997,59.7149725,8.09473684,303.71629434396914,288.53047833678926,35136.0,2024-01-01 00:00:00+00:00,2024-12-31 23:45:00+00:00,5.290666666666667,112.60246586799622
Fluvius_PV_EV,99,Dinamični,20.0,10.0,-237.53834833283852,0.0,5899.540655038503,5324.335416042577,5604.563595834292,4122.579879419503,4849.83533509076,4852.460505374833,59.71559072,10.8863156,280.22818045302176,266.21677080212885,35136.0,2024-01-01 00:00:00+00:00,2024-12-31 23:45:00+00:00,5.290666666666667,120.40650534629822
Fluvius_PV_EV,99,Redni,0.0,0.0,389.7481543616019,0.0,0.0,0.0,0.0,0.0,2032.433,2669.9790000000003,0.0,7.936,0.0,0.0,35136.0,2024-01-01 00:00:00+00:00,2024-12-31 23:45:00+00:00,5.290666666666667,9.064125061035156
Fluvius_PV_EV,99,Dinamični,25.0,11.0,-316.9001253880389,0.0,6825.939856343901,6160.41070692941,6484.642849399379,5025.2052367748,5699.80750805839,5615.247280883899,56.577077759999995,11.938947200000001,259.3857142585217,246.41642827717638,35136.0,2024-01-01 00:00:00+00:00,2024-12-31 23:45:00+00:00,5.290666666666667,116.39673089981079
Fluvius_PV_EV,99,Redni,1.0,0.5,356.5198967750048,0.0,390.63333981805397,352.54658499900233,371.10166842000245,7.389922007661198e-16,1679.8864150009977,2279.345660181946,0.0,7.461,371.10167062357687,352.54658499900233,35136.0,2024-01-01 00:00:00+00:00,2024-12-31 23:45:00+00:00,5.290666666666667,22.899900913238525
Fluvius_PV_EV,99,Redni,2.0,1.0,334.22634668781404,0.0,651.9312331680301,588.3679424960019,619.334676311581,1.0954778750793537e-15,1444.065057503998,2018.04776683197,0.0,6.986,309.6673369553024,294.18397124800094,35136.0,2024-01-01 00:00:00+00:00,2024-12-31 23:45:00+00:00,5.290666666666667,23.95601224899292
