Dataset,Household,Paket_ID,Cost_EUR,Energy_EUR,Fixed_EUR,Excess_Power_EUR,Import_kWh,Agreed_Power
Fluvius_EV,5,BISOL_FIKSNI_VEZAVA,929.8974139777998,614.3704070857998,303.55284465,11.974162241999997,3923.0069999999996,prev1m_cyclic_unbounded
Fluvius_EV,5,ELEN_DINAMICNA,970.5422025197,647.2562130144,311.3118272633,11.974162241999997,3923.0069999999996,prev1m_cyclic_unbounded
Fluvius_EV,5,ELEN_FIKSNI,985.44255037,676.5033592318,296.9650288962,11.974162241999997,3923.0069999999996,prev1m_cyclic_unbounded
Fluvius_EV,5,ELEN_ZANESLJIVA,961.5122076700001,652.5730165318,296.9650288962,11.974162241999997,3923.0069999999996,prev1m_cyclic_unbounded
Fluvius_EV,5,GENI_AKTIVNI,988.2254276150001,682.0677584918,294.1835068812,11.974162241999997,3923.0069999999996,prev1m_cyclic_unbounded
Fluvius_EV,5,GENI_DINAMICNI,967.7606813991001,647.2562130144,308.53030614270006,11.974162241999997,3923.0069999999996,prev1m_cyclic_unbounded
Fluvius_EV,5,GENI_FIKSNI,958.730685655,652.5730165318,294.1835068812,11.974162241999997,3923.0069999999996,prev1m_cyclic_unbounded
Fluvius_EV,5,GENI_REDNI,934.800342955,628.6426738318,294.1835068812,11.974162241999997,3923.0069999999996,prev1m_cyclic_unbounded
Fluvius_EV,5,PETROL_AKCIJSKI,953.9262410192001,633.2753778188,308.67670095840003,11.974162241999997,3923.0069999999996,prev1m_cyclic_unbounded
Fluvius_EV,5,PETROL_FIKS2026,968.6771146192,648.0262514187999,308.67670095840003,11.974162241999997,3923.0069999999996,prev1m_cyclic_unbounded
Fluvius_EV,5,PETROL_REDNI,992.2147893392001,671.5639261388001,308.67670095840003,11.974162241999997,3923.0069999999996,prev1m_cyclic_unbounded
Fluvius_HP,1,BISOL_DINAMICNI,1826.8848326899,1600.4170606769999,211.2166340269,15.251137986,10335.366999999998,prev1m_cyclic_unbounded
Fluvius_HP,1,BISOL_DINAMICNI_PLUS,1850.7473648327,1600.4170606769999,235.07916616970002,15.251137986,10335.366999999998,prev1m_cyclic_unbounded
Fluvius_HP,1,BISOL_FIKSNI,1950.0852124303,1723.6174404174,211.2166340269,15.251137986,10335.366999999998,prev1m_cyclic_unbounded
Fluvius_HP,1,BISOL_FIKSNI99,1757.9792532103,1531.5114811974,211.2166340269,15.251137986,10335.366999999998,prev1m_cyclic_unbounded
Fluvius_HP,1,BISOL_FIKSNI_VEZAVA,1811.3845872903,1584.9168152774,211.2166340269,15.251137986,10335.366999999998,prev1m_cyclic_unbounded
Fluvius_HP,1,ELEN_DINAMICNA,1781.9607615515,1547.7340066374,218.9756169281,15.251137986,10335.366999999998,prev1m_cyclic_unbounded
