Dataset,Household,Option,Paket_ID,Variant,Cost_EUR,Energy_EUR,Fixed_EUR,Excess_Power_EUR,Import_kWh,Agreed_Power,Per_Group
Fluvius,4,BISOL_FIKSNI@2T,BISOL_FIKSNI,2T,626.8034118289002,468.2708816666001,154.83959990030004,3.692930262,2764.8630000000003,prev1m_cyclic_unbounded,5
Fluvius,4,BISOL_FIKSNI@1T,BISOL_FIKSNI,1T,624.7142228289,466.18169266659993,154.83959990030004,3.692930262,2764.8630000000003,prev1m_cyclic_unbounded,5
Fluvius,4,BISOL_FIKSNI99@2T,BISOL_FIKSNI99,2T,573.9975552489001,415.4650250866,154.83959990030004,3.692930262,2764.8630000000003,prev1m_cyclic_unbounded,5
Fluvius,4,BISOL_FIKSNI99@1T,BISOL_FIKSNI99,1T,563.9978313489001,405.4653011866001,154.83959990030004,3.692930262,2764.8630000000003,prev1m_cyclic_unbounded,5
Fluvius,4,BISOL_FIKSNI_VEZAVA@2T,BISOL_FIKSNI_VEZAVA,2T,589.6989503689,431.1664202066,154.83959990030004,3.692930262,2764.8630000000003,prev1m_cyclic_unbounded,5
Fluvius,4,BISOL_FIKSNI_VEZAVA@1T,BISOL_FIKSNI_VEZAVA,1T,584.2366285089,425.7040983466,154.83959990030004,3.692930262,2764.8630000000003,prev1m_cyclic_unbounded,5
Fluvius,4,ELEN_DINAMICNA,ELEN_DINAMICNA,-,594.2754447689999,427.9839322814,162.59858222559998,3.692930262,2764.8630000000003,prev1m_cyclic_unbounded,5
Fluvius,4,ELEN_FIKSNI@2T,ELEN_FIKSNI,2T,626.8334677059,474.88875300060005,148.2517844433,3.692930262,2764.8630000000003,prev1m_cyclic_unbounded,5
Fluvius,4,ELEN_FIKSNI@1T,ELEN_FIKSNI,1T,624.5353598058999,472.5906451005999,148.2517844433,3.692930262,2764.8630000000003,prev1m_cyclic_unbounded,5
Fluvius,4,ELEN_ZANESLJIVA@2T,ELEN_ZANESLJIVA,2T,609.9678034059,458.02308870059994,148.2517844433,3.692930262,2764.8630000000003,prev1m_cyclic_unbounded,5
Fluvius,4,ELEN_ZANESLJIVA@1T,ELEN_ZANESLJIVA,1T,607.6696955059001,455.72498080060006,148.2517844433,3.692930262,2764.8630000000003,prev1m_cyclic_unbounded,5
Fluvius,4,GENI_AKTIVNI,GENI_AKTIVNI,-,589.6402142636999,440.47702186059996,145.47026214110002,3.692930262,2764.8630000000003,prev1m_cyclic_unbounded,5
Fluvius,4,GENI_DINAMICNI,GENI_DINAMICNI,-,591.4939233491999,427.9839322814,159.81706080579997,3.692930262,2764.8630000000003,prev1m_cyclic_unbounded,5
Fluvius,4,GENI_FIKSNI@2T,GENI_FIKSNI,2T,607.1862811037,458.02308870059994,145.47026214110002,3.692930262,2764.8630000000003,prev1m_cyclic_unbounded,5
Fluvius,4,GENI_FIKSNI@1T,GENI_FIKSNI,1T,604.8881732037001,455.72498080060006,145.47026214110002,3.692930262,2764.8630000000003,prev1m_cyclic_unbounded,5
Fluvius,4,GENI_REDNI@2T,GENI_REDNI,2T,590.3206168037001,441.1574244006,145.47026214110002,3.692930262,2764.8630000000003,prev1m_cyclic_unbounded,5
Fluvius,4,GENI_REDNI@1T,GENI_REDNI,1T,588.0225089037002,438.85931650060013,145.47026214110002,3.692930262,2764.8630000000003,prev1m_cyclic_unbounded,5
Fluvius,4,PETROL_AKCIJSKI@2T,PETROL_AKCIJSKI,2T,608.1466814823001,444.49029500360007,159.96345621670002,3.692930262,2764.8630000000003,prev1m_cyclic_unbounded,5
Fluvius,4,PETROL_AKCIJSKI@1T,PETROL_AKCIJSKI,1T,606.0574924823001,442.40110600360003,159.96345621670002,3.692930262,2764.8630000000003,prev1m_cyclic_unbounded,5
Fluvius,4,PETROL_FIKS2026@2T,PETROL_FIKS2026,2T,618.4749989623,454.8186124836,159.96345621670002,3.692930262,2764.8630000000003,prev1m_cyclic_unbounded,5
Fluvius,4,PETROL_FIKS2026@1T,PETROL_FIKS2026,1T,616.1768910623001,452.5205045836001,159.96345621670002,3.692930262,2764.8630000000003,prev1m_cyclic_unbounded,5
Fluvius,4,PETROL_REDNI@2T,PETROL_REDNI,2T,635.1317443623,471.47535788359994,159.96345621670002,3.692930262,2764.8630000000003,prev1m_cyclic_unbounded,5
Fluvius,4,PETROL_REDNI@1T,PETROL_REDNI,1T,633.0425553623002,469.38616888360013,159.96345621670002,3.692930262,2764.8630000000003,prev1m_cyclic_unbounded,5
Fluvius,5,BISOL_DINAMICNI,BISOL_DINAMICNI,-,207.8971022526,119.8462331426,70.580157754,17.470711356000002,734.002,prev1m_cyclic_unbounded,5
Fluvius,5,BISOL_DINAMICNI_PLUS,BISOL_DINAMICNI_PLUS,-,231.75963411700002,119.8462331426,94.44268961840001,17.470711356000002,734.002,prev1m_cyclic_unbounded,5
Fluvius,5,BISOL_FIKSNI@2T,BISOL_FIKSNI,2T,211.1241278394,123.07325872939998,70.580157754,17.470711356000002,734.002,prev1m_cyclic_unbounded,5
Fluvius,5,BISOL_FIKSNI@1T,BISOL_FIKSNI,1T,211.80637623940004,123.75550712940003,70.580157754,17.470711356000002,734.002,prev1m_cyclic_unbounded,5
Fluvius,5,BISOL_FIKSNI99@2T,BISOL_FIKSNI99,2T,197.41471211939998,109.36384300939999,70.580157754,17.470711356000002,734.002,prev1m_cyclic_unbounded,5
Fluvius,5,BISOL_FIKSNI99@1T,BISOL_FIKSNI99,1T,195.68769231939996,107.63682320939995,70.580157754,17.470711356000002,734.002,prev1m_cyclic_unbounded,5
Fluvius,5,BISOL_FIKSNI_VEZAVA@2T,BISOL_FIKSNI_VEZAVA,2T,201.27382099940004,113.22295188940004,70.580157754,17.470711356000002,734.002,prev1m_cyclic_unbounded,5
Fluvius,5,BISOL_FIKSNI_VEZAVA@1T,BISOL_FIKSNI_VEZAVA,1T,201.06058695940004,113.00971784940003,70.580157754,17.470711356000002,734.002,prev1m_cyclic_unbounded,5
Fluvius,5,ELEN_DINAMICNA,ELEN_DINAMICNA,-,212.04127282410002,116.2314211008,78.3391403673,17.470711356000002,734.002,prev1m_cyclic_unbounded,5
Fluvius,5,ELEN_FIKSNI@2T,ELEN_FIKSNI,2T,206.1695041784,124.70645052539999,63.992342297,17.470711356000002,734.002,prev1m_cyclic_unbounded,5
Fluvius,5,ELEN_FIKSNI@1T,ELEN_FIKSNI,1T,206.91997741839998,125.45692376539996,63.992342297,17.470711356000002,734.002,prev1m_cyclic_unbounded,5
Fluvius,5,ELEN_ZANESLJIVA@2T,ELEN_ZANESLJIVA,2T,201.69209197840001,120.22903832540001,63.992342297,17.470711356000002,734.002,prev1m_cyclic_unbounded,5
Fluvius,5,ELEN_ZANESLJIVA@1T,ELEN_ZANESLJIVA,1T,202.44256521840006,120.97951156540005,63.992342297,17.470711356000002,734.002,prev1m_cyclic_unbounded,5
Fluvius,5,GENI_AKTIVNI,GENI_AKTIVNI,-,196.39499188660002,117.71346054540001,61.2108199852,17.470711356000002,734.002,prev1m_cyclic_unbounded,5
Fluvius,5,GENI_DINAMICNI,GENI_DINAMICNI,-,209.25975110740004,116.2314211008,75.5576186506,17.470711356000002,734.002,prev1m_cyclic_unbounded,5
Fluvius,5,GENI_FIKSNI@2T,GENI_FIKSNI,2T,198.91056966660003,120.22903832540001,61.2108199852,17.470711356000002,734.002,prev1m_cyclic_unbounded,5
Fluvius,5,GENI_FIKSNI@1T,GENI_FIKSNI,1T,199.66104290660004,120.97951156540005,61.2108199852,17.470711356000002,734.002,prev1m_cyclic_unbounded,5
Fluvius,5,GENI_REDNI@2T,GENI_REDNI,2T,194.4331574666,115.7516261254,61.2108199852,17.470711356000002,734.002,prev1m_cyclic_unbounded,5
Fluvius,5,GENI_REDNI@1T,GENI_REDNI,1T,195.18363070660004,116.50209936540003,61.2108199852,17.470711356000002,734.002,prev1m_cyclic_unbounded,5
Fluvius,5,PETROL_AKCIJSKI@2T,PETROL_AKCIJSKI,2T,209.93483324259998,116.76010752739998,75.70401435919999,17.470711356000002,734.002,prev1m_cyclic_unbounded,5
Fluvius,5,PETROL_AKCIJSKI@1T,PETROL_AKCIJSKI,1T,210.61708164260003,117.44235592740003,75.70401435919999,17.470711356000002,734.002,prev1m_cyclic_unbounded,5
Fluvius,5,PETROL_FIKS2026@2T,PETROL_FIKS2026,2T,212.55305572260002,119.37833000740004,75.70401435919999,17.470711356000002,734.002,prev1m_cyclic_unbounded,5
Fluvius,5,PETROL_FIKS2026@1T,PETROL_FIKS2026,1T,213.30352896259996,120.12880324739996,75.70401435919999,17.470711356000002,734.002,prev1m_cyclic_unbounded,5
